week,month,service,available_beds,patients_request,patients_admitted,patients_refused,patient_satisfaction,staff_morale,event,acceptance_rate
1,1,emergency,32,76,32,44,67,70,none,42.1
1,1,surgery,45,130,45,85,83,78,flu,34.6
1,1,general_medicine,37,201,37,164,97,43,flu,18.4
1,1,ICU,22,31,22,9,84,91,flu,71.0
2,1,emergency,28,169,28,141,75,64,none,16.6
2,1,surgery,40,26,26,0,96,56,none,100.0
2,1,general_medicine,43,183,43,140,73,93,flu,23.5
2,1,ICU,16,7,7,0,79,85,donation,100.0
3,1,emergency,32,177,32,145,73,58,flu,18.1
3,1,surgery,27,66,27,39,63,72,flu,40.9
3,1,general_medicine,37,58,37,21,95,63,none,63.8
3,1,ICU,20,21,20,1,82,89,none,95.2
4,1,emergency,32,157,32,125,83,75,none,20.4
4,1,surgery,56,57,56,1,74,94,none,98.2
4,1,general_medicine,43,152,43,109,67,66,flu,28.3
4,1,ICU,20,21,20,1,64,85,flu,95.2
5,2,emergency,25,388,25,363,93,72,flu,6.4
5,2,surgery,26,70,26,44,81,83,donation,37.1
5,2,general_medicine,40,103,40,63,73,52,none,38.8
5,2,ICU,22,13,13,0,73,88,none,100.0
6,2,emergency,34,198,34,164,72,76,flu,17.2
6,2,surgery,27,58,27,31,96,81,donation,46.6
6,2,general_medicine,69,90,69,21,72,81,none,76.7
6,2,ICU,14,12,12,0,87,51,none,100.0
7,2,emergency,33,127,33,94,65,77,none,26.0
7,2,surgery,37,46,37,9,89,60,none,80.4
7,2,general_medicine,62,80,62,18,84,98,donation,77.5
7,2,ICU,21,47,21,26,72,83,flu,44.7
8,2,emergency,26,240,26,214,96,75,flu,10.8
8,2,surgery,51,20,20,0,91,61,strike,100.0
8,2,general_medicine,58,105,58,47,71,88,none,55.2
8,2,ICU,12,10,10,0,76,98,none,100.0
9,3,emergency,28,113,28,85,82,86,none,24.8
9,3,surgery,22,41,22,19,61,93,none,53.7
9,3,general_medicine,38,78,38,40,63,60,none,48.7
9,3,ICU,11,20,11,9,97,73,none,55.0
10,3,emergency,17,130,17,113,81,60,none,13.1
10,3,surgery,38,57,38,19,68,55,none,66.7
10,3,general_medicine,35,64,35,29,95,68,none,54.7
10,3,ICU,13,8,8,0,91,56,none,100.0
11,3,emergency,16,97,16,81,98,72,donation,16.5
11,3,surgery,48,48,48,0,82,80,none,100.0
11,3,general_medicine,35,50,35,15,75,75,none,70.0
11,3,ICU,14,17,14,3,61,50,none,82.4
12,3,emergency,28,347,28,319,68,83,flu,8.1
12,3,surgery,38,24,24,0,79,73,none,100.0
12,3,general_medicine,33,69,33,36,70,98,none,47.8
12,3,ICU,16,13,13,0,79,94,donation,100.0
13,4,emergency,23,142,23,119,77,95,none,16.2
13,4,surgery,41,54,41,13,75,90,none,75.9
13,4,general_medicine,33,72,33,39,73,70,none,45.8
13,4,ICU,17,12,12,0,66,52,none,100.0
14,4,emergency,15,97,15,82,71,71,none,15.5
14,4,surgery,33,49,33,16,97,87,none,67.3
14,4,general_medicine,51,47,47,0,86,76,none,100.0
14,4,ICU,10,16,10,6,92,54,none,62.5
15,4,emergency,17,53,17,36,94,98,none,32.1
15,4,surgery,31,124,31,93,65,76,flu,25.0
15,4,general_medicine,53,179,53,126,90,76,flu,29.6
15,4,ICU,14,11,11,0,92,52,none,100.0
16,4,emergency,23,144,23,121,62,89,none,16.0
16,4,surgery,37,28,28,0,82,31,strike,100.0
16,4,general_medicine,39,41,39,2,85,66,none,95.1
16,4,ICU,18,15,15,0,98,78,none,100.0
17,5,emergency,21,133,21,112,84,73,none,15.8
17,5,surgery,40,23,23,0,95,94,none,100.0
17,5,general_medicine,33,76,33,43,75,63,none,43.4
17,5,ICU,14,17,14,3,87,83,none,82.4
18,5,emergency,18,100,18,82,81,80,donation,18.0
18,5,surgery,43,36,36,0,81,98,none,100.0
18,5,general_medicine,31,25,25,0,96,62,strike,100.0
18,5,ICU,12,9,9,0,63,55,none,100.0
19,5,emergency,16,70,16,54,99,45,strike,22.9
19,5,surgery,42,44,42,2,78,66,none,95.5
19,5,general_medicine,43,60,43,17,85,86,none,71.7
19,5,ICU,14,17,14,3,68,61,none,82.4
20,5,emergency,21,45,21,24,93,81,none,46.7
20,5,surgery,31,39,31,8,99,94,none,79.5
20,5,general_medicine,40,70,40,30,64,71,none,57.1
20,5,ICU,10,14,10,4,85,65,none,71.4
21,6,emergency,18,95,18,77,88,63,none,18.9
21,6,surgery,30,44,30,14,64,67,donation,68.2
21,6,general_medicine,45,70,45,25,95,82,none,64.3
21,6,ICU,12,9,9,0,69,54,none,100.0
22,6,emergency,16,129,16,113,69,68,none,12.4
22,6,surgery,18,21,18,3,63,65,none,85.7
22,6,general_medicine,46,36,36,0,87,88,donation,100.0
22,6,ICU,9,6,6,0,92,82,none,100.0
23,6,emergency,22,54,22,32,62,50,none,40.7
23,6,surgery,26,43,26,17,72,61,none,60.5
23,6,general_medicine,27,81,27,54,94,77,donation,33.3
23,6,ICU,17,12,12,0,85,83,none,100.0
24,6,emergency,18,105,18,87,70,78,none,17.1
24,6,surgery,39,21,21,0,95,39,strike,100.0
24,6,general_medicine,47,66,47,19,94,97,none,71.2
24,6,ICU,9,9,9,0,91,73,none,100.0
25,7,emergency,15,48,15,33,72,72,none,31.3
25,7,surgery,22,39,22,17,76,98,none,56.4
25,7,general_medicine,36,51,36,15,81,62,none,70.6
25,7,ICU,8,6,6,0,71,90,none,100.0
26,7,emergency,18,96,18,78,87,63,none,18.8
26,7,surgery,31,30,30,0,75,54,none,100.0
26,7,general_medicine,43,72,43,29,80,85,none,59.7
26,7,ICU,14,8,8,0,98,63,none,100.0
27,7,emergency,15,67,15,52,82,78,none,22.4
27,7,surgery,29,24,24,0,68,59,none,100.0
27,7,general_medicine,36,61,36,25,66,95,none,59.0
27,7,ICU,15,10,10,0,86,51,none,100.0
28,7,emergency,15,69,15,54,78,66,donation,21.7
28,7,surgery,31,28,28,0,66,74,none,100.0
28,7,general_medicine,26,36,26,10,90,68,none,72.2
28,7,ICU,12,8,8,0,86,59,none,100.0
29,8,emergency,16,92,16,76,72,99,none,17.4
29,8,surgery,36,31,31,0,87,57,none,100.0
29,8,general_medicine,30,62,30,32,60,52,none,48.4
29,8,ICU,14,15,14,1,84,82,none,93.3
30,8,emergency,16,85,16,69,91,94,none,18.8
30,8,surgery,32,15,15,0,70,66,strike,100.0
30,8,general_medicine,38,47,38,9,77,96,none,80.9
30,8,ICU,8,7,7,0,62,65,none,100.0
31,8,emergency,20,48,20,28,69,81,none,41.7
31,8,surgery,20,24,20,4,83,86,donation,83.3
31,8,general_medicine,45,60,45,15,85,57,none,75.0
31,8,ICU,8,12,8,4,87,86,none,66.7
32,8,emergency,20,89,20,69,76,58,none,22.5
32,8,surgery,31,25,25,0,87,97,none,100.0
32,8,general_medicine,34,59,34,25,65,67,none,57.6
32,8,ICU,11,15,11,4,84,51,none,73.3
